,Applicant.ID,tags
360,673,  medical assistant   
361,676,  sales associate cashier.  
362,677,  waiter  bartender   
363,680,  hobby shop assistant counter server  
364,683,  waiter  
365,687,  administrative assistant  
366,691,  mover  
367,697,  none  
368,699,  waitressserver receptionist  
369,700,  cashier server  
370,702,  none  
371,708,  waitressserver  
372,719,  chaplain  
373,728,  cashier   
374,732,  manager  
375,736,  deli   
376,737,  cleaningmopping the flore damping of trash waxing and sweeping and strong work ethic   
377,739,  none  
378,753,  busboy  
379,758,  fountain    
380,759,  none none  
381,768,  workstudy  
382,769,  none  
383,770,  none  
384,772,  data entry  
385,773,  sale associate  
386,774,  cashier  
387,779,  busser  
388,780,  sales man  
389,782,  none  
390,785,  painter  
391,786,  cleaner   
392,788,  crew member  
393,789,  sales representative  
394,793,  assistant for party planner  
395,796,  none  
396,801,  server  
397,805,  barista  
398,808,  waiter  
399,816,  fast food kitchen   
400,820,  logisitics  
401,825,  cargo department  
402,841,  field manager cashiercourtesy clerk  
403,844,  accountant assistant  
404,851,  volunteer   
405,860,  none   
406,861,  none  
407,864,  package handler  
408,867,  care giver electronic technician greens keeper sales agent and mail carrier driver customer service rep book keeper chef
409,868,  cashier  
410,871,  customer service  
411,877,  costumer service  
412,879,  home heath aide  
413,880,  nursing and secretary assistant  
414,894,  community service specialist  
415,909,  executive director  
416,911,  volunteer  
417,920,  administrative assistant  
418,922,  delivery boy summer teacher assistant  
419,933,  none  
420,937,  beer specialist  
421,938,  server server host receptionist customer service rep server
422,943,  server  
423,950,  corporate accountant  
424,952,  ia sub  
425,955,  musicianteacher  
426,959,  server host foodrunner busser  
427,967,  receptionist  
428,977,  none  
429,978,  rachel aviles   
430,979,  coordinator  
431,984,  none  
432,985,  none  
433,988,  none  
434,991,  barber  
435,998,  food packing clerk   
436,999,  day site supervisor  
437,1001,  sales associate  
438,1003,  marketing representative   
439,1004,  sales representative  in store model  
440,1005,  none  
441,1018,  nurse  
442,1038,  none  
443,1042,  temp worker  
444,1043,  operations clerk   
445,1049,  cook  
446,1052,  merchandiser  
447,1054,  none  
448,1058,  none  
449,1070,  student worker  
450,1079,  secretary  
451,1080,  read alliance  
452,1097,  recruiter  
453,1104,  counselor  
454,1105,  none   
455,1110,  contract administrator  
456,1111,  none  
457,1122,  cashier  
458,1127,  delivery boy  
459,1141,  cashier baker  
460,1146,  server  
461,1147,  financial youth educator  teller  
462,1151,  crew memeber dishwasher  
463,1154,  waitress  
464,1162,  supply clerk  
465,1166,  none  
466,1171,  waitress  
467,1179,  child care  
468,1183,  non  
469,1184,  sound mixer  
470,1190,  none  
471,1196,  server  
472,1200,  none  
473,1201,  none  
474,1210,  parttime instructor currently unemployed line cook host training community relations customer service rep server
475,1214,  receptionist  office assistant  
476,1216,  cleaner  
477,1217,  server   
478,1218,  none  
479,1219,  principal dancer  
480,1229,  party coach  
481,1231,  assistant manager  
482,1237,  seller  
483,1238,  server  
484,1242,  server  
485,1245,  bartender and server  
15384,1251,    fine arts retail parttime travel
486,1255,  front desk  
487,1259,  graphic designer  
488,1261,  none  
489,1265,  leonardo cavello senior center  
490,1267,  cashier  
491,1268,  menetal health residential counselor  
492,1269,  none  
493,1270,  none  
494,1271,  assistance manager  
495,1275,     
496,1280,  apprentice in environmental engineering  
497,1282,  internshipvolunteer  
498,1283,  none  
499,1287,  cashier  
500,1299,  none  
501,1300,  none  
502,1301,  office assistant  
503,1304,  cook  
504,1308,  commissioner menteri olahraga  
505,1309,  registrar registrartranscript office  
506,1315,  none  
507,1316,  dishwasher  
508,1331,  office assistant   
509,1333,  clerk cashier  
510,1334,  food clerk  
511,1335,  none  
512,1342,  server  greeter  
513,1344,  ticket takerusher  
514,1352,  none  
515,1359,  none  
516,1362,  none   
517,1366,  poolside server  
518,1372,  none  
519,1373,  script writer  
520,1376,  server  
521,1379,  none   
522,1382,  none  
523,1383,  receptionist  
524,1386,  none  
525,1388,  computer assembly  
526,1398,  none  
527,1399,  none  
528,1400,  activity assistant  
529,1403,  sales associate medical records assistant  
530,1410,  gentle giant mover  
531,1414,  none  
532,1419,  cashier  
533,1421,  cashier  
534,1422,  none  
535,1432,  none  
536,1439,  softrax revenue recognition specialist  
537,1441,  serving cleaning   
538,1442,  test  test test  test  
539,1444,  none  
540,1450,  office manager office manager  
541,1452,  distributor interpreter  
542,1454,  teachers assistant   
543,1457,  retail sales associate  
544,1458,  associate associate  
545,1460,  regional sales executive inside sales  
546,1462,  production  
547,1466,  none  
548,1473,  none  
549,1475,  sales associate  
550,1478,  food and beverage quick service  
551,1481,  food preparer  
552,1487,  accounts recievable clerk   
553,1488,  attorney  
554,1490,  bartenderhostesscashier   
555,1496,  server  
556,1497,  accounting  
557,1499,  none  
558,1500,  cashier merchandise handler  
559,1501,  accounts payable manager  
560,1502,  cashier  
561,1507,  waitress intern  
562,1510,  warehouse  
563,1517,  none  
564,1520,  server  
565,1524,  assistant manager personal trainer group classes instructor floor sales stock room gymnastics coach personal trainer sales stock room  
566,1530,  secretary  
567,1532,  server  
568,1540,  server   
569,1547,  shop manager  
570,1548,  none  
571,1549,  shift manager  peer educator   
572,1552,  none  
573,1555,     
574,1556,  volunteer work pharmacy food service volunteer ground crew summer camp counselor  
575,1562,  medical assistant womens practice obgyn  medical assistant cafe servercatering psr i  pediatrics  
576,1570,  server  
577,1571,  personal asst. to jewelery  designer  
578,1576,  server  
579,1577,  sales associate sales operator  
580,1580,  personal assistant  
581,1592,  prep   
582,1596,  customer service  
583,1598,  intern ad manager  
584,1604,  cashier  
585,1606,  none  
586,1607,  production assistant  
587,1613,  sales associate  
588,1615,  nail worker cash register  
589,1617,  street vendor  
590,1622,  none  
591,1630,  cashier  
592,1632,  ride operator  
593,1636,  teachers aide courtesy clerk  
594,1642,  bartender bartender  bar manager bartender manager  
595,1644,  carolina fontaine  
596,1646,  sales associate sales associate  
597,1652,  assistant sales counter assistant   
598,1654,  special education teacher sales personred flower  
599,1660,  associate high school teacher serverpool manager  
600,1666,  crew member finance clerk crew member  
601,1667,  receptionist inventory   
602,1671,  hostess waiter cashier  
603,1672,  linguist computer  cellphone services shop ownermanager  
604,1677,  none  
605,1681,  none  
606,1684,  bareburger  
607,1686,  none  
608,1691,  arts and crafts instructor sales associate  
609,1692,  cookcashier cater server  
610,1697,  admissions coordinator  
611,1702,  independent agent  
